Date;Open;High;Low;Last Close;Chg.%;
"01/02/2007";"1587.10";"1618.30";"1587.10";"1618.30";"+1.85%";
"01/03/2007";"1617.40";"1624.80";"1607.30";"1617.90";"-0.02%";
"01/04/2007";"1618.20";"1618.20";"1609.00";"1614.20";"-0.23%";
"01/05/2007";"1608.90";"1627.40";"1599.70";"1599.90";"-0.89%";
"01/08/2007";"1598.90";"1600.80";"1582.80";"1590.90";"-0.56%";
"01/09/2007";"1589.40";"1598.80";"1586.60";"1589.30";"-0.10%";
"01/10/2007";"1588.60";"1590.40";"1561.50";"1565.30";"-1.51%";
"01/11/2007";"1567.70";"1593.90";"1567.70";"1593.10";"+1.78%";
"01/12/2007";"1591.20";"1605.70";"1591.10";"1602.60";"+0.60%";
"01/15/2007";"1604.80";"1618.10";"1604.80";"1617.90";"+0.95%";
"01/16/2007";"1615.80";"1622.80";"1614.50";"1621.90";"+0.25%";
"01/17/2007";"1620.00";"1624.90";"1602.60";"1609.90";"-0.74%";
"01/18/2007";"1614.60";"1624.20";"1614.60";"1624.20";"+0.89%";
"01/19/2007";"1623.90";"1623.90";"1610.00";"1618.90";"-0.33%";
"01/22/2007";"1622.50";"1638.10";"1622.50";"1634.50";"+0.96%";
"01/23/2007";"1632.00";"1640.70";"1627.60";"1640.70";"+0.38%";
"01/24/2007";"1643.80";"1663.00";"1643.80";"1659.80";"+1.16%";
"01/25/2007";"1665.40";"1680.90";"1663.50";"1675.40";"+0.94%";
"01/26/2007";"1668.00";"1668.00";"1654.10";"1660.90";"-0.87%";
"01/29/2007";"1652.30";"1670.20";"1652.30";"1661.30";"+0.02%";
"01/30/2007";"1661.80";"1668.90";"1658.50";"1667.10";"+0.35%";
"01/31/2007";"1670.00";"1671.10";"1659.20";"1663.40";"-0.22%";
"02/01/2007";"1663.80";"1682.70";"1663.80";"1682.70";"+1.16%";
"02/02/2007";"1677.70";"1700.10";"1677.70";"1688.70";"+0.36%";
"02/05/2007";"1685.50";"1695.40";"1685.50";"1694.40";"+0.34%";
"02/06/2007";"1693.20";"1718.40";"1693.20";"1718.40";"+1.42%";
"02/07/2007";"1717.50";"1718.70";"1708.50";"1714.90";"-0.20%";
"02/08/2007";"1713.90";"1719.20";"1689.10";"1692.10";"-1.33%";
"02/09/2007";"1684.90";"1700.80";"1683.60";"1684.70";"-0.44%";
"02/12/2007";"1681.40";"1686.60";"1673.10";"1679.90";"-0.28%";
"02/13/2007";"1680.40";"1695.80";"1680.40";"1694.30";"+0.86%";
"02/14/2007";"1699.20";"1712.60";"1699.20";"1708.90";"+0.86%";
"02/15/2007";"1710.70";"1721.50";"1702.20";"1703.20";"-0.33%";
"02/16/2007";"1697.90";"1707.20";"1697.90";"1701.30";"-0.11%";
"02/19/2007";"1699.90";"1708.90";"1699.50";"1706.90";"+0.33%";
"02/20/2007";"1708.10";"1708.10";"1683.30";"1686.60";"-1.19%";
"02/21/2007";"1686.60";"1687.90";"1669.80";"1672.20";"-0.85%";
"02/22/2007";"1667.30";"1686.20";"1667.30";"1686.00";"+0.83%";
"02/23/2007";"1694.70";"1706.40";"1692.80";"1704.80";"+1.12%";
"02/26/2007";"1726.30";"1726.30";"1701.50";"1706.20";"+0.08%";
"02/27/2007";"1688.20";"1688.20";"1629.20";"1635.80";"-4.13%";
"02/28/2007";"1622.90";"1636.90";"1594.10";"1628.00";"-0.48%";
"03/01/2007";"1635.70";"1658.20";"1590.90";"1593.60";"-2.11%";
"03/02/2007";"1604.70";"1621.10";"1589.40";"1613.00";"+1.22%";
"03/05/2007";"1583.50";"1596.60";"1572.60";"1595.70";"-1.07%";
"03/06/2007";"1613.80";"1632.10";"1611.00";"1629.10";"+2.09%";
"03/07/2007";"1638.10";"1642.10";"1621.80";"1626.90";"-0.14%";
"03/08/2007";"1635.30";"1667.60";"1635.30";"1667.60";"+2.50%";
"03/09/2007";"1668.60";"1681.30";"1655.20";"1674.70";"+0.43%";
"03/12/2007";"1682.80";"1693.50";"1662.60";"1662.60";"-0.72%";
"03/13/2007";"1668.10";"1676.70";"1656.00";"1661.80";"-0.05%";
"03/14/2007";"1633.60";"1633.60";"1610.80";"1628.40";"-2.01%";
"03/15/2007";"1635.00";"1646.30";"1623.40";"1635.80";"+0.45%";
"03/16/2007";"1640.20";"1649.60";"1627.80";"1643.20";"+0.45%";
"03/19/2007";"1651.30";"1662.80";"1651.30";"1653.70";"+0.64%";
"03/20/2007";"1660.20";"1671.30";"1650.90";"1671.30";"+1.06%";
"03/21/2007";"1675.80";"1687.60";"1675.60";"1681.40";"+0.60%";
"03/22/2007";"1699.90";"1709.50";"1689.60";"1691.00";"+0.57%";
"03/23/2007";"1689.80";"1710.80";"1687.60";"1708.90";"+1.06%";
"03/26/2007";"1710.30";"1722.30";"1710.30";"1712.70";"+0.22%";
"03/27/2007";"1716.40";"1717.20";"1692.80";"1692.80";"-1.16%";
"03/28/2007";"1688.80";"1696.90";"1678.90";"1680.10";"-0.75%";
"03/29/2007";"1683.40";"1703.70";"1683.40";"1703.20";"+1.37%";
"03/30/2007";"1703.60";"1712.20";"1701.80";"1712.20";"+0.53%";
"04/02/2007";"1710.70";"1712.90";"1701.30";"1708.70";"-0.20%";
"04/03/2007";"1710.30";"1724.70";"1710.30";"1723.80";"+0.88%";
"04/04/2007";"1732.50";"1751.80";"1731.60";"1745.20";"+1.24%";
"04/05/2007";"1746.50";"1751.90";"1741.10";"1742.20";"-0.17%";
"04/06/2007";"1742.00";"1754.60";"1741.50";"1754.20";"+0.69%";
"04/10/2007";"1752.60";"1771.20";"1752.60";"1770.90";"+0.95%";
"04/11/2007";"1772.80";"1795.30";"1772.60";"1784.80";"+0.78%";
"04/12/2007";"1777.50";"1787.40";"1763.60";"1763.60";"-1.19%";
"04/13/2007";"1756.20";"1791.00";"1756.20";"1788.10";"+1.39%";
"04/16/2007";"1791.60";"1814.80";"1791.60";"1814.10";"+1.45%";
"04/17/2007";"1814.00";"1814.30";"1788.90";"1804.00";"-0.56%";
"04/18/2007";"1796.70";"1801.90";"1787.60";"1794.40";"-0.53%";
"04/19/2007";"1783.50";"1783.50";"1766.10";"1777.20";"-0.96%";
"04/20/2007";"1780.10";"1817.70";"1780.10";"1811.50";"+1.93%";
"04/23/2007";"1797.50";"1815.00";"1797.50";"1814.60";"+0.17%";
"04/24/2007";"1811.10";"1824.40";"1810.20";"1814.40";"-0.01%";
"04/25/2007";"1816.30";"1832.50";"1816.30";"1828.00";"+0.75%";
"04/26/2007";"1831.20";"1845.50";"1820.00";"1820.00";"-0.44%";
"04/27/2007";"1824.00";"1831.90";"1810.30";"1812.00";"-0.44%";
"04/30/2007";"1812.80";"1818.40";"1797.00";"1806.30";"-0.31%";
"05/02/2007";"1807.00";"1823.30";"1806.20";"1814.90";"+0.48%";
"05/03/2007";"1825.40";"1831.60";"1812.80";"1813.90";"-0.06%";
"05/04/2007";"1819.90";"1827.70";"1813.20";"1827.40";"+0.74%";
"05/07/2007";"1833.10";"1835.20";"1823.60";"1826.30";"-0.06%";
"05/09/2007";"1833.10";"1837.90";"1816.20";"1831.60";"+0.29%";
"05/10/2007";"1832.40";"1849.60";"1831.10";"1833.60";"+0.11%";
"05/11/2007";"1825.60";"1825.60";"1808.60";"1818.50";"-0.82%";
"05/14/2007";"1826.40";"1840.40";"1819.60";"1819.60";"+0.06%";
"05/15/2007";"1821.50";"1821.50";"1798.10";"1805.40";"-0.78%";
"05/16/2007";"1803.40";"1816.60";"1793.70";"1816.20";"+0.60%";
"05/17/2007";"1820.70";"1827.40";"1807.80";"1814.40";"-0.10%";
"05/18/2007";"1817.60";"1841.10";"1816.00";"1836.00";"+1.19%";
"05/21/2007";"1841.40";"1855.10";"1832.60";"1832.60";"-0.19%";
"05/22/2007";"1831.80";"1833.30";"1821.20";"1828.30";"-0.23%";
"05/23/2007";"1820.10";"1838.70";"1820.10";"1838.20";"+0.54%";
"05/24/2007";"1836.70";"1836.70";"1816.30";"1823.90";"-0.78%";
"05/25/2007";"1815.60";"1823.70";"1806.70";"1815.40";"-0.47%";
"05/28/2007";"1818.00";"1829.00";"1817.90";"1828.40";"+0.72%";
"05/29/2007";"1826.70";"1834.80";"1826.40";"1829.00";"+0.03%";
"05/30/2007";"1813.70";"1820.60";"1810.20";"1820.20";"-0.48%";
"05/31/2007";"1825.60";"1844.40";"1825.60";"1833.20";"+0.71%";
"06/01/2007";"1835.40";"1851.40";"1835.40";"1850.50";"+0.94%";
"06/04/2007";"1845.20";"1857.60";"1839.60";"1848.10";"-0.13%";
"06/05/2007";"1844.00";"1855.90";"1843.90";"1845.20";"-0.16%";
"06/06/2007";"1842.20";"1852.50";"1832.60";"1838.50";"-0.36%";
"06/07/2007";"1839.40";"1847.80";"1831.90";"1840.70";"+0.12%";
"06/08/2007";"1827.00";"1827.00";"1804.80";"1820.30";"-1.11%";
"06/11/2007";"1825.50";"1842.70";"1824.10";"1842.60";"+1.23%";
"06/12/2007";"1848.30";"1855.20";"1837.00";"1844.60";"+0.11%";
"06/13/2007";"1841.70";"1845.60";"1828.20";"1842.60";"-0.11%";
"06/14/2007";"1853.90";"1856.20";"1844.00";"1853.10";"+0.57%";
"06/15/2007";"1857.60";"1863.20";"1836.10";"1849.60";"-0.19%";
"06/18/2007";"1854.40";"1856.00";"1848.20";"1848.70";"-0.05%";
"06/19/2007";"1849.90";"1849.90";"1836.00";"1838.50";"-0.55%";
"06/20/2007";"1841.90";"1860.10";"1841.40";"1850.50";"+0.65%";
"06/21/2007";"1850.50";"1850.50";"1838.90";"1841.30";"-0.50%";
"06/22/2007";"1844.30";"1847.60";"1838.10";"1847.60";"+0.34%";
"06/25/2007";"1846.30";"1846.30";"1834.20";"1836.90";"-0.58%";
"06/26/2007";"1837.60";"1851.40";"1834.70";"1851.40";"+0.79%";
"06/27/2007";"1845.20";"1849.50";"1832.30";"1834.50";"-0.91%";
"06/28/2007";"1835.20";"1844.20";"1835.20";"1843.60";"+0.50%";
"06/29/2007";"1844.80";"1859.50";"1842.40";"1859.10";"+0.84%";
"07/02/2007";"1864.10";"1864.10";"1849.90";"1857.00";"-0.11%";
"07/03/2007";"1858.30";"1895.10";"1858.30";"1886.90";"+1.61%";
"07/04/2007";"1880.80";"1903.50";"1880.80";"1897.60";"+0.57%";
"07/09/2007";"1896.20";"1915.80";"1896.20";"1903.80";"+0.33%";
"07/10/2007";"1902.40";"1902.40";"1877.70";"1879.70";"-1.27%";
"07/11/2007";"1869.70";"1874.70";"1857.20";"1863.20";"-0.88%";
"07/12/2007";"1865.80";"1882.30";"1865.80";"1880.40";"+0.92%";
"07/13/2007";"1886.70";"1891.40";"1863.10";"1863.40";"-0.90%";
"07/16/2007";"1864.20";"1866.40";"1841.50";"1850.30";"-0.70%";
"07/17/2007";"1855.80";"1857.40";"1848.20";"1852.80";"+0.14%";
"07/18/2007";"1844.40";"1865.50";"1843.00";"1864.00";"+0.60%";
"07/19/2007";"1864.40";"1873.30";"1863.50";"1870.30";"+0.34%";
"07/20/2007";"1874.40";"1877.80";"1854.90";"1854.90";"-0.82%";
"07/23/2007";"1851.80";"1866.10";"1832.00";"1866.10";"+0.60%";
"07/24/2007";"1867.70";"1870.30";"1841.20";"1841.60";"-1.31%";
"07/25/2007";"1818.20";"1852.20";"1817.10";"1851.60";"+0.54%";
"07/26/2007";"1854.50";"1854.50";"1810.60";"1815.40";"-1.96%";
"07/27/2007";"1792.90";"1796.50";"1750.90";"1771.40";"-2.42%";
"07/30/2007";"1773.10";"1781.70";"1750.50";"1764.70";"-0.38%";
"07/31/2007";"1787.30";"1801.30";"1776.30";"1789.80";"+1.42%";
"08/01/2007";"1767.10";"1767.80";"1736.30";"1747.80";"-2.35%";
