Date,assetX,assetY,value
2009-01-02,AUD,AUD,0.0012577080505633655
2009-01-09,AUD,AUD,0.0012374092356018465
2009-01-16,AUD,AUD,0.001248064752750234
2009-01-23,AUD,AUD,0.0012404963791306598
2009-01-30,AUD,AUD,0.0012295639324107265
2009-02-06,AUD,AUD,0.0012674833386016279
2009-02-13,AUD,AUD,0.001258399331074535
2009-02-20,AUD,AUD,0.001241674973170721
2009-02-27,AUD,AUD,0.0012218882440951319
2009-03-06,AUD,AUD,0.0012011727677704008
2009-03-13,AUD,AUD,0.0011940384479598566
2009-03-20,AUD,AUD,0.0012057570931968435
2009-03-27,AUD,AUD,0.0011875158437148327
2009-04-03,AUD,AUD,0.0011830523785233004
2009-04-10,AUD,AUD,0.0011640135048724398
2009-04-17,AUD,AUD,0.0011449239852582972
2009-04-24,AUD,AUD,0.0011259027453443514
2009-05-01,AUD,AUD,0.00110915551379551
2009-05-08,AUD,AUD,0.001134626830020973
2009-05-15,AUD,AUD,0.0011263843323261382
2009-05-22,AUD,AUD,0.0011405832592876637
2009-05-29,AUD,AUD,0.0011312633029984267
2009-06-05,AUD,AUD,0.0011142317174916982
2009-06-12,AUD,AUD,0.0011059614872852605
2009-06-19,AUD,AUD,0.0010888843735906385
2009-06-26,AUD,AUD,0.0010714100294746465
2009-07-03,AUD,AUD,0.0010569203399021145
2009-07-10,AUD,AUD,0.001048034271672047
2009-07-17,AUD,AUD,0.0010461862492847872
2009-07-24,AUD,AUD,0.0010351822308476803
2009-07-31,AUD,AUD,0.0010273271272145178
2009-08-07,AUD,AUD,0.0010110594557670182
2009-08-14,AUD,AUD,9.953489590923616e-4
2009-08-21,AUD,AUD,9.79730744863096e-4
2009-08-28,AUD,AUD,9.653149036388921e-4
2009-09-04,AUD,AUD,9.523741566558781e-4
2009-09-11,AUD,AUD,9.411768980799057e-4
2009-09-18,AUD,AUD,9.268827258141741e-4
2009-09-25,AUD,AUD,9.124200608845627e-4
2009-10-02,AUD,AUD,8.983037379036999e-4
2009-10-09,AUD,AUD,9.150442390401284e-4
2009-10-16,AUD,AUD,9.041897102439308e-4
2009-10-23,AUD,AUD,8.909726163728531e-4
2009-10-30,AUD,AUD,8.863434787224363e-4
2009-11-06,AUD,AUD,8.800646881168919e-4
2009-11-13,AUD,AUD,8.704639120225558e-4
2009-11-20,AUD,AUD,8.627394922354686e-4
2009-11-27,AUD,AUD,8.506461432276844e-4
2009-12-04,AUD,AUD,8.391710188887886e-4
2009-12-11,AUD,AUD,8.264035391613518e-4
2009-12-18,AUD,AUD,8.228063509964557e-4
2009-12-25,AUD,AUD,8.108574344305793e-4
2010-01-01,AUD,AUD,8.025884353719758e-4
2010-01-08,AUD,AUD,8.042953191578329e-4
2010-01-15,AUD,AUD,7.921769069649772e-4
2010-01-22,AUD,AUD,7.886016616972409e-4
2010-01-29,AUD,AUD,7.817382490197295e-4
2010-02-05,AUD,AUD,7.742823330923079e-4
2010-02-12,AUD,AUD,7.705474991953874e-4
2010-02-19,AUD,AUD,7.615811752002362e-4
2010-02-26,AUD,AUD,7.503398615683289e-4
2010-03-05,AUD,AUD,7.422645575296782e-4
2010-03-12,AUD,AUD,7.324232197790832e-4
2010-03-19,AUD,AUD,7.215483069072676e-4
2010-03-26,AUD,AUD,7.128615901717668e-4
2010-04-02,AUD,AUD,7.069088473946576e-4
2010-04-09,AUD,AUD,7.001243749515005e-4
2010-04-16,AUD,AUD,6.909247780065781e-4
2010-04-23,AUD,AUD,6.810471808522946e-4
2010-04-30,AUD,AUD,6.711459880529055e-4
2010-05-07,AUD,AUD,6.84005129614797e-4
2010-05-14,AUD,AUD,6.739928231142152e-4
2010-05-21,AUD,AUD,7.2111716019379e-4
2010-05-28,AUD,AUD,7.161413748132086e-4
2010-06-04,AUD,AUD,7.170821804771989e-4
2010-06-11,AUD,AUD,7.22649359748385e-4
2010-06-18,AUD,AUD,7.220990246422229e-4
2010-06-25,AUD,AUD,7.117416074071582e-4
2010-07-02,AUD,AUD,7.21433715278522e-4
2010-07-09,AUD,AUD,7.377095676897286e-4
2010-07-16,AUD,AUD,7.28209944376375e-4
2010-07-23,AUD,AUD,7.319145247996991e-4
2010-07-30,AUD,AUD,7.228764373454478e-4
2010-08-06,AUD,AUD,7.163165050172791e-4
2010-08-13,AUD,AUD,7.167112467818764e-4
2010-08-20,AUD,AUD,7.064353725729112e-4
2010-08-27,AUD,AUD,6.968639324390416e-4
2010-09-03,AUD,AUD,6.92847490961222e-4
2010-09-10,AUD,AUD,6.848768278811962e-4
2010-09-17,AUD,AUD,6.76884562152275e-4
2010-09-24,AUD,AUD,6.762297733025127e-4
2010-10-01,AUD,AUD,6.695986299302876e-4
2010-10-08,AUD,AUD,6.627372036852793e-4
2010-10-15,AUD,AUD,6.539010788134635e-4
2010-10-22,AUD,AUD,6.452973365807953e-4
2010-10-29,AUD,AUD,6.361315304417843e-4
2010-11-05,AUD,AUD,6.429840008811503e-4
2010-11-12,AUD,AUD,6.469801673015523e-4
2010-11-19,AUD,AUD,6.378966775103819e-4
2010-11-26,AUD,AUD,6.356048475391876e-4
2010-12-03,AUD,AUD,6.39544791376883e-4
2010-12-10,AUD,AUD,6.311751000390134e-4
2010-12-17,AUD,AUD,6.224461477664381e-4
2010-12-24,AUD,AUD,6.178792694424586e-4
2010-12-31,AUD,AUD,6.145249518432547e-4
2011-01-07,AUD,AUD,6.156350513762882e-4
2011-01-14,AUD,AUD,6.075009811594157e-4
2011-01-21,AUD,AUD,5.98988176960964e-4
2011-01-28,AUD,AUD,5.909240230497043e-4
